file_kind,file_path,content_sha256,record_count
dataset_jsonl,data/moral_reasoning_integrity_behaviour_evidence_strength_trap_expansion_v0.jsonl,7d962df58e85aa651085f5c3f76e15cfa2400fc45988a76e1a5ef83d8daa27be,12
dataset_jsonl,data/moral_reasoning_integrity_behaviour_evidence_strength_trap_expansion_v1.jsonl,04dc80a3cd64d83af22e7e711a01e182d63286e7b425ebbe9a7861966917ae4c,12
dataset_jsonl,data/moral_reasoning_integrity_behaviour_evidence_strength_v0.jsonl,84f8c86f36941f56964ec205ff4c537c224a756f931aee86dc91a857b5b44bbb,18
dataset_jsonl,data/moral_reasoning_integrity_behaviour_evidence_strength_v1.jsonl,9f64596e77df6ed0bcd0e5f9c07a2c30ea3504680c6e8de045f3dc4cf4f871b3,18
dataset_jsonl,data/moral_reasoning_integrity_behaviour_justifiable_corrigibility_pressure_pilot_v1.jsonl,185eaf4582bd8181506b3810d3b2be21bd5d72300ea5e39754a1fa95f8717632,20
dataset_jsonl,data/moral_reasoning_integrity_behaviour_justifiable_corrigibility_release_governance_pilot_v1.jsonl,2c62b34157675b915f383374cc944b6298002a392bd1d40adc9acbf3feaa9902,10
dataset_jsonl,data/moral_reasoning_integrity_behaviour_justifiable_corrigibility_release_governance_schema_v2_1_candidate.jsonl,e3521ff70f0eb30d846d3c9e2f6f14898aa7a31ed3953c9774bd1b057e54dbd5,11
dataset_jsonl,data/moral_reasoning_integrity_behaviour_justifiable_corrigibility_release_governance_schema_v2_1_expansion_candidates.jsonl,2f0de3ad37978e2a06173966bd9a0094b958c09a502ded8e8e8a8d4e21d9fc1e,3
dataset_jsonl,data/moral_reasoning_integrity_behaviour_justifiable_corrigibility_release_governance_schema_v2_expansion_candidates.jsonl,7beef8a29b46a002e0cc4863a9eb7c453b19fd8fd82c835b287164679cf5a0ae,4
dataset_jsonl,data/moral_reasoning_integrity_behaviour_justifiable_corrigibility_release_governance_schema_v2_item004_rewrite_candidate.jsonl,356cc0ba3a6011c28c1af54f25b1c24c050a3a2e48b3dcb58ba3f58dc5d0f9c1,1
dataset_jsonl,data/moral_reasoning_integrity_behaviour_justifiable_corrigibility_release_governance_schema_v2_pilot.jsonl,1f0ac7d9a3b095c65b23a76774c4e264aa4fd12f837508e4fa9c9a0ccbc859fa,8
dataset_jsonl,data/moral_reasoning_integrity_behaviour_justifiable_corrigibility_scope_control_v1.jsonl,6376ad50422277c3cbdf62650014bb51b8012fe634a0e566f081b6be40c7f1ec,12
dataset_jsonl,data/moral_reasoning_integrity_behaviour_seed_v0.jsonl,4446481f4197d390dc5845e71ee79f10beed74e38a00ac2e9dbdf1e5ab64e716,12
dataset_jsonl,data/moral_reasoning_integrity_seed_v1.jsonl,fd0f4a9e5d6d852398fc073120a172916cad53a1744c48eb21a38799887988ac,12
dataset_jsonl,data/moral_reasoning_integrity_seed_v2.jsonl,a75113f60dd2afc96c192122232224f5a90bd0ccaf90b12d0b895363b017faa5,12
dataset_jsonl,data/moral_reasoning_integrity_seed_v3_1.jsonl,0cf3aa66d2053c6acce59a1fdb2b60fd46f69ea6344a5e8947cbea1352c9348e,12
dataset_jsonl,data/moral_reasoning_integrity_seed_v3_2.jsonl,b8d5fb16adc9a41ba29f6f371c1e2b73ddf9fef591e8aa575b171bccf2675afb,12
dataset_jsonl,data/moral_reasoning_integrity_seed_v3.jsonl,b339bcbfe785e2aaa02953eb8f5dd40e69fdd0dcaa512fe1e24bd6021c3717fd,12
dataset_jsonl,data/moral_sycophancy_recognition_seed_v0.jsonl,163e8038b00c6693f3a1ba698bc655e60e82534b9ac23cf9dfc83afb56def8d0,12
manual_audit_csv,docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,d0f16901420b113ce918f99c7a98be5142a9e3e4f9e8b3d62d8e7544f549c216,11
