manual_file_path,manual_record_count,expected_output_pair_status,expected_output_file_candidates,expected_output_record_counts
docs/failure_audits/schema_v2_1_manual_vs_deterministic_scoring.csv,11,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,24,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,60,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,90,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,12,missing_expected_output_file,,
docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,12,missing_expected_output_file,,
